1808_enaeposmat_extensionsToroids,Extensiones quirales de toros (Chiral extensions of toroids),"Un poliedro puede ser pensado como un montón de polígonos que se pegan unos con otros a través de sus aristas. Esta noción es puramente combinatoria y se extiende de manera natural a dimensiones superiores de manera recursiva, es decir, podemos pensar a los polígonos como objetos 2-dimensionales y para n > 3, hablar de objetos n-dimensionales construidos a partir de objetos (n - 1)- dimensionales. Este problema se vuelve retador cuando ciertas condiciones de simetría son impuestas. En la plática exploraremos esta situación y hablaremos brevemente sobre una construcción de este estilo para ciertas teselaciones del toro.",enaeposmat,National,https://matmor.unam.mx/eeposmat/,3rd national meeting of graduate students of mathematics,2018-08-29,No,"Morelia, Mich. Mexico",,Yes,extensionsToroids,Contributed,"Centro de Ciencias Matemáticas, UNAM Morelia"
1807_roglaphd_extensionsToroids,Chiral extensions of regular toroids,An abstract polytope K is an extension of an abstract polytope P if all the facets of K are isomorphic to P. Chiral polytopes are those that have all possible rotations but  lack of reflectional symmetry. In the talk we will explore the problem of building chiral extensions of polytopes. We will also show a technique involving voltages over certain graphs to construct chiral extensions of regular toroids.,roglaphd,International,https://conferences.famnit.upr.si/event/12/,8th PhD Summer School in Discrete Mathematics,2018-07-03,Yes,"Rogla, Slovenia",,Yes,extensionsToroids,Contributed,Hotel Planja
1803_vnl_extensionsToroids,De un ejemplo con gráficas a un problema con toros (From an example with graphs to a problem on tori),"En esta plática exploraremos con detalle una estructura de incidencia sobre \(K_{6}\). Esta construcción nos servirá para motivar un problema general de mapas con cuadrados en el toro. Finalmente, mostraremos algunos resultados relativos a este problema.",vnl,National,http://xamanek.izt.uam.mx/coloquio/2018/Programa.html,"33rd Colloquium “Victor Neumann-Lara” of graph theory, combinatorics and its applications",2018-03-05,No,"La Habana, Cuba",,Yes,extensionsToroids,Contributed,Universidad de La Habana
1806_sigmap_extensionsToroids,Chiral extensions of regular toroids,An abstract polytope K is an extension of an abstract polytope P if all the facets of K are isomorphic to P. Chiral polytopes are those that have all possible rotations but lack of reflectional symmetry. In the talk we will explore the problem of building chiral extensions of polytopes. We will also show a technique to build chiral extensions of regular toroids.,sigmap,International,https://matmor.unam.mx/SIGMAP/,6th Workshop Symmetries in Graphs Maps and Polytopes (SIGMAP),2018-06-26,No,"Morelia, Mich. Mexico",,Yes,extensionsToroids,Contributed,"Centro de Ciencias Matemáticas, UNAM Morelia"
1908_tomandoCiencia_whyPureMath,¿Qué ch*****os hace un matemático puro y por qué les pagamos por ello?,,tomandoCiencia,Local,,"Cycle ""Tomando ciencia""",2019-08-10,Yes,"Morelia, Mich., Mexico",,Yes,whyPureMath,By invitation,Bar Giraluna
2204_coloquioIM_extensions,Extensiones de politopos áltamente simétricos (Extensions of highly symmetric polytopes),"Un cubo puede ser pensado como una familia de cuadrados pegados por sus aristas. De manera similar, la teselación de cubos del espacio puede ser pensada como una familia de cubos pegados por sus caras cuadradas. Esta idea recursiva de construcción se puede entender no solo en el contexto de objetos geométricos como poliedros o teselaciones sino también en un contexto puramente combinatorio: el de los politopos abstractos. En la charla exploraremos una serie de problemas ligados a la pregunta: dado un politopo K de rango (dimensión) n, ¿Existe un politopo P de rango n+1 tal que todas las caras de rango n de P son isomorfas a K? De particular interés será cuando ponemos condiciones preestablecidas de simetría sobre P.",coloquioIM,Local,https://www.matem.unam.mx/actividades/coloquio/cu/actividades/extensiones-de-politopos-altamente-simetricos,Colloquium of the Institute of Mathematics UNAM (online),2022-04-05,No,"Mexico City, Mexico",,Yes,extensions,By invitation,Institute of Mathematics UNAM
2311_mathFisMat_regPolyhedra,No me amenaces... no me amenaces (con que ya son todos),"Existen exactamente 5 poliedros regulares: los Sólidos Platónicos. Para muchos de nosotros éste es uno de los teoremas que más pronto aprendimos en nuestra formación y, con un poco de suerte, hasta lo demostramos. Es más, este teorema constituye el clímax del último libro de Los Elementos de Euclides... pero... ¿Sí?... En la platica vamos a analizar un poquito este famoso teorema y sobre todo, platicaremos algo de historia al respecto.",mathFisMat,Seminar,,Math seminar FisMat UMSNH,2023-11-12,No,"Morelia, Mich. Mexico",,Yes,regPolyhedra,By invitation,"Faculty of Physics and Mathematics, UMSNH"
2103_agtiw_extensions,Highly symmetric polytopes with prescribed local combinatorics,"Convex polyhedra and tilings of the Euclidean of hyperbolic plane can be thought as a family of polygons glued together along their edges. This idea extends to higher dimensions: a 4-dimensional cube can be thought as family of 3-dimensional cubes glued together along its 2-dimensional faces. This way of thinking polytopes gives rise to some natural questions: given a n-dimensional polytope K, can we build a (n+1)-dimensional polytope P such that all the facets (maximal proper faces of P) are isomorphic to K? how many of such P can we build? Usually the geometry plays an important role on those questions.In the talk we will explore variants of this question in the context of abstract polytopes, where the geometry is less relevant. In particular, we are interested in the situation where prescribed symmetry conditions are imposed on P.",agtiw,Seminar,http://euler.doa.fmph.uniba.sk/AGTIW.html,Algebraic graph theory international webminar (online),2021-03-02,Yes,,,Yes,extensions,By invitation,
2306_sicgt_cayleyExtensions,Cayley extensions of maniplexes and polytopes,A map on a surface whose automorphism group has a subgroup acting regularly on its vertices is called a Cayley map. Cayley extensions are a generalisation of that notion to maniplexes and polytopes. We define M to be a Cayley extension of K if the facets of M are isomorphic to K and if some subgroup of the automorphism group of M acts regularly on the facets of M. We will show that many natural extensions in the literature on maniplexes and polytopes are in fact Cayley extensions. We will also describe several universal Cayley extensions and examine the possibilities for their symmetry type graph.,sicgt,International,https://sicgt.si/,10th Slovenian Conference on Graph Theory (SiCGT),2023-06-20,No,"Kranjska Gora, Slovenia",,Yes,cayleyExtensions,Contributed,"Hotel Kompas, Kranjska Gora"
1912_cmswm_halving,A family of regular hypertopes built from regular polytopes,A regular hypertope is a combinatorial object that generalises both regular hypermaps and regular polytopes. In this talk we will present a construction of a family of regular hypertopes with some preassigned conditions on their local combinatorics. This family is built from a family of regular polytopes.,cmswm,International,https://www2.cms.math.ca/Events/winter19/sessions_scientific,CMS Winter meeting 2019,2019-12-07,No,"Toronto, ON., Canada",,Yes,halving,By invitation,Chelsea Hotel
2211_dmFMF_voltageOperations,"Voltage operations on maniplexes, maps and polytopes","Geometrical operations such as truncation, duality, Petrie-duality, among others, arise naturally in the study of highly symmetric convex polyhedra. Often these operations do not generalise in an obvious way to combinatorial objects (such as abstract polytopes). In the talk we shall present a way to deal with many of these operations in a graph-theoretical setting using maniplexes, which are combinatorial generalisation of maps on surfaces and convex polytopes. We shall see how we could potentially use these operations to build maniplexes (or abstract polytopes) with prescribed symmetry type.ˀ",dmFMF,Seminar,,Seminar Dicrete Mathematics UL FMF,2022-11-15,No,"Ljubljana, Slovenia",,No,voltageOperations,By invitation,"Faculty of Mathematics and Physics, University of Ljubljana"
2211_seminarFamnit_voltageOperations,"Voltage operations on maniplexes, maps and polytopes","Geometrical operations such as truncation, duality, Petrie-duality, among others, arise naturally in the study of highly symmetric convex polyhedra. Often these operations do not generalise in an obvious way to combinatorial objects (such as abstract polytopes). In the talk we shall present a way to deal with many of these operations in a graph-theoretical setting using maniplexes, which are combinatorial generalisation of maps on surfaces and convex polytopes. We shall see how we could potentially use these operations to build maniplexes (or abstract polytopes) with prescribed symmetry type.",seminarFamnit,Seminar,,Mathematics research seminar,2022-11-14,No,"Koper, Slovenia",,Yes,voltageOperations,By invitation,"Famnit, University of Primorska"
2011_enormat_toroids,Toros cuadriculados muy simétricos (Highly symmetric squared tori),,enormat,International,,Encuentro Nororiental de Matemáticas 2020 (online),2020-11-18,Yes,"Pamplona, Colombia",,Yes,toroids,Invited speaker,University of Pamplona
2402_sodo_smallMovement,Vertex trantisive graph with (very) small movement,The motion of a graph is defined as the smallest number of vertices that are not fixed by a non-trivial automorphism. In the talk we will show a classification of the vertex transitive graphs whose motion is a prime number or a (very)small integer. We shall also explore how this problem connects with some classical permutation groups and graph theory problems.,sodo,International,https://jschillewaert.wixsite.com/sodo2024,Conference “Symmetries of Discrete Objects” (SODO),2024-02-13,Yes,"Auckland, New Zealand",,Yes,smallMovement,Contributed,University of Auckland
2506_gems_symVoltOps,Symmetries of voltage operations on maniplexes and polytopes,"A classical result in the theory of maps on surfaces states that the medial of a regular map has two orbits on flags (e.g., it has two types of faces). If the original map is self-dual, however, its medial is regular — it admits symmetry that is somewhat unexpected. This prompts a natural analogue for truncation: what is the symmetry-type of the truncation of a given (say, regular) map? What conditions on the original map guarantee or forbid the emergence of unexpected symmetries for its truncation? Although the answer is known, it is less intuitive than in the medial case. In joint work with Hubard and Mochán, we introduced the notion of voltage operations, which generalise many classical operations on maps and polyhedra to the broader setting of maniplexes and abstract polytopes. In this talk, I will revisit voltage operations and present some results and ideas concerning the central question: when does an operation yield a result with unexpected symmetry? ",gems,International,https://gems2025.savbb.sk/,Workshop “Graphs Embeddings and Maps on Surfaces” (GEMS),2025-06-26,Yes,"Trenčianske Teplice, Slovakia",,Yes,symVoltOps,Contributed,Hotel Slovakia
"2510_dmfa_regPolyhedra","Are your polyhedra the same as my polyhedra?","SLO: Ali veste, kaj je pravilni polieder? Ste ga kdaj opazili na pločniku? Veste, koliko jih sploh obstaja? Na predavanju bo predavatelj povedal zgodbo, ki se začne v stari Grčiji in se razteza vse do trenutnega stoletja. Ta zgodba se vrti okoli zgornjih vprašanj in o tem, kako so se odgovori nanja skozi različna zgodovinska obdobja spreminjali.ENG: Do you know what a regular polyhedron is? Have you ever seen one on the sidewalk? Do you know how many of them there are? In the talk, I will tell you a story, a story that starts in ancient Greece and goes all the way to this century. This story goes around the questions above and how they have had different answers across different periods of time.","dmfa","Local","https://www.dmfa.si/ODrustvu/NovicaPrikaz.aspx?itemid=918","Cycle “Poljudnih predavanj iz matematike,fizike in  astronomije” (Popular lectures in mathematics, physics and astronomy)","2025-10-30","No","Kranj, Slovenia",,"Yes","regPolyhedra","Invited speaker","Mestna knjiznica"
