my_id,title,"conf_short","conf_type","conf_url","date","highlighted","location","notes","slides","title_short","type","venue","abstract"
2011_enormat_toroids,Toros cuadriculados muy simétricos (Highly symmetric squared tori),enormat,International,,2020-11-18,Yes,"pamplonaCO",,Yes,toroids,Invited speaker,onlinePamplona,
1912_cmswm_halving,A family of regular hypertopes built from regular polytopes,cmswm19,International,https://www2.cms.math.ca/Events/winter19/sessions_scientific,2019-12-07,No,"torontoCA",,Yes,halving,By invitation,hotelChelsea,A regular hypertope is a combinatorial object that generalises both regular hypermaps and regular polytopes. In this talk we will present a construction of a family of regular hypertopes with some preassigned conditions on their local combinatorics. This family is built from a family of regular polytopes.
1908_tomandoCiencia_whyPureMath,¿Qué ch*****os hace un matemático puro y por qué les pagamos por ello?,tomandoCiencia,Local,,2019-08-10,Yes,"moreliaMX",,Yes,whyPureMath,By invitation,giraluna,
1906_sicgt_toroidalPolyhedra,Highly symmetric toroidal polytopes,sicgt19,International,https://conferences.matheo.si/event/28/,2019-06-27,No,"bledSI",,Yes,toroidalPolyhedra,Contributed,hotelKompas,In the talk we will review a technique that has been used to classify several kinds of highly symmetric abstract polytopes lying on a toroidal ambient space. We will focus not only on the abstract approach of the classifications but on visualizing such objects.
1810_smm_extensionsToroids,Extensiones quirales de toros (Chiral extensions of toroids),smm18,National,https://www.smm.org.mx/congreso/2018,2018-10-23,No,"villahermosaMX",,Yes,extensionsToroids,Contributed,ujat,"Un poliedro puede ser pensado como un montón de polígonos que se pegan unos con otros a través de sus aristas. Esta noción es puramente combinatoria y se extiende de manera natural a dimensiones superiores de manera recursiva, es decir, podemos pensar a los polígonos como objetos 2-dimensionales y para n > 3, hablar de objetos n-dimensionales construidos a partir de objetos (n - 1)- dimensionales. Este problema se vuelve retador cuando ciertas condiciones de simetría son impuestas. En la plática exploraremos esta situación y hablaremos brevemente sobre una construcción de este estilo para ciertas teselaciones del toro."
1808_enaeposmat_extensionsToroids,Extensiones quirales de toros (Chiral extensions of toroids),enaeposmat18,National,https://matmor.unam.mx/eeposmat/,2018-08-29,No,"moreliaMX",,Yes,extensionsToroids,Contributed,"ccmUNAM","Un poliedro puede ser pensado como un montón de polígonos que se pegan unos con otros a través de sus aristas. Esta noción es puramente combinatoria y se extiende de manera natural a dimensiones superiores de manera recursiva, es decir, podemos pensar a los polígonos como objetos 2-dimensionales y para n > 3, hablar de objetos n-dimensionales construidos a partir de objetos (n - 1)- dimensionales. Este problema se vuelve retador cuando ciertas condiciones de simetría son impuestas. En la plática exploraremos esta situación y hablaremos brevemente sobre una construcción de este estilo para ciertas teselaciones del toro."
1807_roglaphd_extensionsToroids,Chiral extensions of regular toroids,roglaphd18,International,https://conferences.famnit.upr.si/event/12/,2018-07-03,Yes,"roglaSI",,Yes,extensionsToroids,Contributed,hotelPlanja,An abstract polytope K is an extension of an abstract polytope P if all the facets of K are isomorphic to P. Chiral polytopes are those that have all possible rotations but  lack of reflectional symmetry. In the talk we will explore the problem of building chiral extensions of polytopes. We will also show a technique involving voltages over certain graphs to construct chiral extensions of regular toroids.
1806_sigmap_extensionsToroids,Chiral extensions of regular toroids,sigmap18,International,https://matmor.unam.mx/SIGMAP/,2018-06-26,No,"moreliaMX",,Yes,extensionsToroids,Contributed,"ccmUNAM",An abstract polytope K is an extension of an abstract polytope P if all the facets of K are isomorphic to P. Chiral polytopes are those that have all possible rotations but lack of reflectional symmetry. In the talk we will explore the problem of building chiral extensions of polytopes. We will also show a technique to build chiral extensions of regular toroids.
1803_vnl_extensionsToroids,De un ejemplo con gráficas a un problema con toros (From an example with graphs to a problem on tori),vnl18,National,http://xamanek.izt.uam.mx/coloquio/2018/Programa.html,2018-03-05,No,"habanaCU",,Yes,extensionsToroids,Contributed,uHabana,"En esta plática exploraremos con detalle una estructura de incidencia sobre \(K_{6}\). Esta construcción nos servirá para motivar un problema general de mapas con cuadrados en el toro. Finalmente, mostraremos algunos resultados relativos a este problema."
1711_becariosCimat_toroids,Simetrías de toros cuadriculados (Symmetries of squared tori),becariosCimat,Seminar,,2017-11-10,No,"guanajuatoMX",,Yes,toroids,By invitation,cimat,
1708_prima_chiralExtensions,Chiral extensions of chiral polytopes,prima17,International,https://primamath.org/congress/prima-2017,2017-08-14,No,"oaxacaMX",,Yes,chiralExtensions,By invitation,itOax,"Abstract polytopes are objects that generalize convex polytopes on a combinatorial way. An elementary problem in convex polytopes is, given an n-polytope K, is there an (n + 1)-polytope P such that all the facets of P are isomorphic to K? When this problem is presented in the context of abstract polytopes it becomes interesting when symmetry conditions are imposed over P (and hence, over K). In the talk we will explain the problem with detail when both P and K are chiral polytopes. In particular we will give some results regarding the possibilities for the Schläfli type of P and some examples for small values of n."
1707_evsec_twoToK,Cubos de colores y otras cosas similares (Coloured cubes and some other similar objects),evsec17,National,https://matmor.unam.mx/simetrias2017/,2017-07-26,Yes,"cuernavacaMX",,Yes,twoToK,Invited speaker,"ucimUNAM",
1702_cgtPeF_toroids,Cubic toroids with few flag-orbits,cgtPeF,Seminar,,2017-02-15,No,"ljubljanaSI",,Yes,toroids,By invitation,"pefUL",
1610_smm_twoToK,Cubos generalizados y extensiones de politopos abstractos (Generalised cubes and extensions of abstract polytopes),smm16,National,https://www.smm.org.mx/congreso/2016,2016-10-25,No,"aguascalientesMX",,Yes,twoToK,Contributed,uaAgs,"La palabra ""politopo"" es el término genérico para los polígonos, poliedros, etc. Los politopos abstractos generalizan de manera combinatoria a los politopos clásicos. El problema de extensión en politopos convexos consiste en determinar cuúndo un politopo de dimensión d se puede usar para construir un politopo de dimensión d+1. Este problema tiene sentido en el contexto de los politopos abstractos. En la plática veremos la importancia de este problema y ofreceremos una posible solución que generaliza una construcción clásica de los cubos."
1610_aquelarre_coversPolyhedra,Toros envolviendo esferas y otras aberraciones similares (Tori wrapping spheres and other similar aberrations),aquelarre16,Local,,2016-10-11,No,"mexicoMX",,Yes,coversPolyhedra,Contributed,"fcUNAM",
1608_enaeposmat_extensions,Extensiones de politopos abstractos altamente simétricos   (Chiral extensions of highly symmetric polytopes),enaeposmat16,National,https://www.matcuer.unam.mx/eeposmat/2016/index.html,2016-08-18,No,"cuernavacaMX",,Yes,extensions,Contributed,"ucimUNAM","La palabra politopo es el término genérico de la sucesión punto, segmento, polígono, poliedro... Los politopos abstractos son generalizaciones combinatorias de los politopos convexos. Un problema clásico en la teoría de politopos convexos es el siguiente: dado un politopo d-dimensional K ¿existe un politopo (d + 1)-dimensional P tal que todas las caras d-dimensionales de P son isomorfas a K? En la plática mostraremos la situación de este problema en el contexto de politopos abstractos cuando imponemos algunas restricciones de simetría en K y en P."
1606_esverCCM_toroids,Toros cuadriculados y sus simetrías (Squared tori and their symmetries),esverCCM16,National,,2016-06-29,Yes,"moreliaMX",,Yes,toroids,Invited speaker,"ccmUNAM",
